year,month,day,dep_time,arr_time,carrier,tailnum,flight,origin,dest,carrier_delay,weather_delay,nas_delay,aircraft_delay
2014,1,2,1903,2100,AA,N434AA,345,LGA,ORD,0,10,7,78
2014,1,2,758,1345,AA,N5FHAA,936,JFK,STT,0,8,42,0
2014,1,2,2139,332,AA,N5CKAA,1029,JFK,SJU,0,159,54,0
2014,1,2,1404,1748,AA,N3CTAA,1073,LGA,MIA,0,4,29,10
2014,1,2,1720,2106,AA,N3DTAA,1171,LGA,DFW,0,8,31,22
2014,1,2,1905,2234,AA,N3ESAA,1185,LGA,DFW,0,42,9,53
2014,1,2,631,1007,AA,N3LBAA,1103,LGA,DFW,0,31,21,0
2014,1,2,715,1026,AA,N3KAAA,1107,LGA,DFW,0,30,1,0
2014,1,2,808,1131,AA,N3DTAA,1111,LGA,DFW,0,23,8,0
2014,1,2,908,1301,AA,N3FMAA,1121,LGA,DFW,0,8,33,0
2014,1,2,1052,1428,AA,N3KUAA,1131,LGA,DFW,0,27,21,0
2014,1,2,1956,2320,AA,N3CMAA,1193,LGA,DFW,0,46,14,0
2014,1,2,1306,1646,AA,N3BBAA,1145,LGA,DFW,0,11,30,0
2014,1,2,1512,1826,AA,N3HVAA,1151,LGA,DFW,0,14,4,73
2014,1,2,1514,1846,AA,N3DPAA,1155,LGA,DFW,0,8,22,11
2014,1,2,1603,1940,AA,N3KAAA,1156,LGA,DFW,0,3,17,15
2014,1,2,1550,1901,AA,N3LBAA,1327,LGA,PBI,0,14,0,12
2014,1,2,844,1346,AA,N5FGAA,1357,JFK,SJU,0,39,3,0
2014,1,2,1657,2040,AA,N3AUAA,1410,LGA,MIA,0,11,18,56
2014,1,2,1124,1512,AA,N3GPAA,1599,LGA,MIA,0,18,33,26
2014,1,2,1954,2358,AA,N3FMAA,1611,LGA,MIA,0,74,44,25
2014,1,2,910,1241,AA,N3AUAA,2267,LGA,MIA,0,70,16,0
2014,1,2,730,1049,AA,N3DPAA,2279,LGA,MIA,0,20,4,0
2014,1,2,1519,1847,AA,N5CCAA,2285,JFK,MCO,0,20,18,4
2014,1,2,1831,2209,AA,N369AA,2351,JFK,MIA,0,61,13,0
2014,1,2,1744,2112,AA,N3JMAA,2297,LGA,MIA,0,50,3,119
2014,1,2,2000,7,AA,N3BSAA,2437,LGA,MIA,0,35,47,0
2014,1,2,1822,2133,AA,N633AA,2448,JFK,EGE,0,52,16,0
2014,1,2,3,452,B6,N806JB,329,JFK,RSW,0,150,97,47
2014,1,2,1557,1748,B6,N183JB,118,JFK,BOS,0,14,42,104
2014,1,2,1829,2130,B6,N238JB,1373,JFK,CHS,251,19,54,0
2014,1,2,2040,6,B6,N247JB,1119,JFK,CLT,0,17,86,173
2014,1,2,2113,2338,B6,N281JB,2202,JFK,BUF,0,15,53,141
2014,1,2,857,1102,B6,N324JB,885,JFK,RDU,0,16,21,64
2014,1,2,2215,145,B6,N507JB,65,JFK,ABQ,0,67,27,67
2014,1,2,1952,2316,B6,N516JB,711,JFK,LAS,6,43,32,5
2014,1,2,1949,25,B6,N524JB,161,JFK,SMF,0,17,63,0
2014,1,2,1838,2205,B6,N562JB,183,JFK,MCO,0,8,33,0
2014,1,2,2037,114,B6,N571JB,201,JFK,FLL,99,28,89,0
2014,1,2,2336,416,B6,N587JB,2053,JFK,PBI,0,21,109,80
2014,1,2,156,852,B6,N588JB,1503,JFK,SJU,0,50,135,67
2014,1,2,2321,321,B6,N589JB,1295,JFK,AUS,0,70,46,86
2014,1,2,1920,2256,B6,N629JB,1801,JFK,FLL,0,41,18,163
2014,1,2,2027,104,B6,N630JB,263,JFK,SEA,69,31,77,0
2014,1,2,2058,242,B6,N641JB,803,JFK,SJU,0,79,48,7
2014,1,2,1915,2250,B6,N644JB,669,JFK,SJC,0,26,0,19
2014,1,2,2334,337,B6,N649JB,1901,JFK,FLL,0,41,62,63
2014,1,2,1028,1337,B6,N705JB,411,JFK,LAS,0,18,24,10
2014,1,2,2336,329,B6,N821JB,97,JFK,DEN,0,3,84,130
2014,1,2,931,1302,B6,N827JB,223,JFK,LAX,0,10,17,0
2014,1,2,2343,341,B6,N827JB,623,JFK,LAX,0,25,52,53
2014,1,2,2236,506,B6,N913JB,1103,JFK,SJU,0,56,100,55
2014,1,2,2015,2400,AA,N3DNAA,45,JFK,LAS,0,174,50,21
2014,1,2,1548,1958,AA,N3DJAA,65,JFK,DFW,0,8,40,0
2014,1,2,1755,2303,AA,N623AA,95,JFK,SJU,0,11,8,74
2014,1,2,1048,1423,DL,N953DL,1174,LGA,PBI,0,10,25,13
2014,1,2,1700,1926,DL,N333NB,1231,LGA,DTW,0,85,25,55
2014,1,2,2308,252,DL,N984DL,1247,LGA,ATL,0,64,74,64
2014,1,2,2139,206,DL,N978DL,1435,LGA,TPA,0,88,69,36
2014,1,2,1906,2245,DL,N311US,1585,LGA,MCO,0,50,32,26
2014,1,2,1807,2055,DL,N942DL,1619,LGA,MSP,0,3,26,119
2014,1,2,1512,1935,DL,N929DL,1644,LGA,RSW,0,13,54,14
2014,1,2,1334,1741,DL,N907DE,1685,LGA,MCO,62,32,62,0
2014,1,2,1904,2256,DL,N971DL,61,LGA,ATL,0,64,66,0
2014,1,2,1740,2119,DL,N931DL,221,LGA,ATL,0,41,51,0
2014,1,2,1933,2331,DL,N3732J,406,JFK,ATL,0,63,81,0
2014,1,2,1607,1910,DL,N986DL,407,JFK,ATL,0,17,22,0
2014,1,2,1606,2006,DL,N703TW,409,JFK,SFO,0,6,12,0
2014,1,2,1549,1944,DL,N195DN,417,JFK,LAX,0,19,22,0
2014,1,2,1706,2039,DL,N385DN,421,JFK,AUS,0,36,8,0
2014,1,2,2023,32,DL,N3738B,425,JFK,PDX,0,47,45,36
2014,1,2,2102,38,DL,N188DN,427,JFK,LAX,0,47,7,0
2014,1,2,1713,2047,DL,N365NW,428,JFK,MIA,0,4,9,44
2014,1,2,856,1147,DL,N910DE,433,JFK,ATL,0,32,16,14
2014,1,2,2000,19,DL,N727TW,435,JFK,SFO,0,60,30,0
2014,1,2,1521,1818,DL,N381DN,436,JFK,LAS,0,5,0,17
2014,1,2,1857,2224,DL,N705TW,442,JFK,SEA,0,19,0,0
2014,1,2,1934,53,DL,N3759,448,JFK,SJU,0,12,23,0
2014,1,2,1207,1511,DL,N920DE,480,JFK,ATL,0,7,30,0
2014,1,2,828,1127,DL,N336NW,665,LGA,DEN,0,18,25,0
2014,1,2,733,941,DL,N310NW,831,LGA,DTW,0,18,5,0
2014,1,2,1731,2053,DL,N919DL,847,LGA,ATL,0,92,38,0
2014,1,2,1605,1909,DL,N315US,884,LGA,DEN,0,100,29,0
2014,1,2,912,1317,DL,N906DL,1109,LGA,TPA,0,7,49,0
2014,1,2,1443,1704,DL,N365NB,1131,LGA,DTW,0,71,20,47
2014,1,2,2225,154,DL,N910DE,1147,LGA,ATL,0,113,49,32
2014,1,2,817,1026,DL,N334NB,2119,LGA,MSP,0,17,5,0
2014,1,2,2127,2,DL,N332NB,2131,LGA,DTW,0,58,23,39
2014,1,2,1108,1456,DL,N980DL,2139,LGA,MIA,0,973,23,0
2014,1,2,2012,100,DL,N944DL,2159,JFK,MCO,0,1,104,56
2014,1,2,809,1203,DL,N3750D,2165,JFK,PHX,0,9,11,0
2014,1,2,1513,1845,DL,N377NW,2181,LGA,MCO,0,1,25,7
2014,1,2,2301,235,DL,N368NW,2242,JFK,SAT,0,46,0,79
2014,1,2,1725,2114,DL,N914DE,2280,JFK,FLL,0,7,23,88
2014,1,2,1431,1901,DL,N963DL,2330,LGA,MIA,0,32,70,0
2014,1,2,2150,54,DL,N957DL,2331,JFK,DTW,13,41,40,146
2014,1,2,822,1246,DL,N931DL,2395,LGA,PBI,0,17,70,0
2014,1,2,820,1226,DL,N914DE,2442,JFK,FLL,0,20,49,0
2014,1,2,1834,2211,DL,N341NB,2449,LGA,FLL,0,36,18,13
2014,1,2,1746,2218,DL,N922DL,2451,LGA,RSW,0,26,63,15
2014,1,2,2310,145,DL,N3730B,2454,JFK,DEN,0,22,0,162
2014,1,2,1414,1744,DL,N357NW,2455,LGA,MCO,0,39,35,6
2014,1,2,2013,2318,DL,N901DE,2458,LGA,DTW,0,71,56,17
2014,1,2,1630,2020,DL,N3748Y,2459,JFK,MCO,0,15,41,15
2014,1,2,1614,1918,DL,N911DE,2462,LGA,ATL,0,4,21,70
2014,1,2,2130,218,DL,N987DL,2471,LGA,RSW,0,82,81,43
2014,1,2,824,1220,DL,N948DL,2480,LGA,RSW,0,19,27,0
2014,1,2,1941,2320,DL,N302DQ,2526,LGA,ATL,0,41,59,0
2014,1,2,2343,248,DL,N3763D,2590,JFK,LAS,0,236,0,0
2014,1,2,1633,1947,DL,N339NB,1705,LGA,MSY,0,49,36,0
2014,1,2,1941,2357,DL,N340NB,1715,LGA,MSY,0,41,95,0
2014,1,2,932,1244,DL,N981DL,1747,LGA,ATL,0,32,25,0
2014,1,2,1537,1745,DL,N346NB,1819,LGA,MSP,0,57,3,5
2014,1,2,1014,1338,DL,N969DL,1847,LGA,ATL,0,11,42,3
2014,1,2,2017,22,DL,N342NB,1854,LGA,FLL,0,51,50,36
2014,1,2,937,1316,DL,N959DL,1885,LGA,MCO,0,37,33,0
2014,1,2,1940,2319,DL,N338NW,1896,LGA,DEN,0,6,61,19
2014,1,2,1535,1932,DL,N949DL,1902,LGA,PBI,22,28,46,0
2014,1,2,1630,2048,DL,N943DL,1935,LGA,TPA,11,23,60,21
2014,1,2,1608,2009,DL,N975DL,1982,LGA,MIA,0,19,29,29
2014,1,2,1910,2141,DL,N906DL,2019,LGA,MSP,0,60,12,0
2014,1,2,1530,2055,DL,N3754A,2043,JFK,SJU,0,3,31,12
2014,1,2,1855,2124,DL,N979AT,2076,EWR,DTW,0,69,27,47
2014,1,2,1345,1555,EV,N724EV,5078,EWR,DTW,11,1,16,47
2014,1,2,2001,2255,EV,N371CA,5259,LGA,MSN,71,230,84,21
2014,1,2,1535,1802,EV,N753EV,5373,LGA,GSO,15,25,34,0
2014,1,2,1733,1910,EV,N710EV,5431,LGA,PWM,8,7,46,98
2014,1,2,1453,1726,MQ,N506MQ,2789,LGA,CLT,0,6,33,87
2014,1,2,902,1105,MQ,N5PBMQ,2809,LGA,STL,0,4,18,58
2014,1,2,1800,2012,MQ,N544MQ,2840,LGA,STL,0,10,17,145
2014,1,2,809,1202,MQ,N546MQ,3066,JFK,TPA,0,24,58,0
2014,1,2,1239,1405,MQ,N532MQ,3230,JFK,DCA,0,16,16,83
2014,1,2,1946,2306,MQ,N1EAMQ,3357,LGA,ATL,0,12,45,184
2014,1,2,1304,1513,MQ,N845MQ,3361,JFK,RDU,0,20,29,24
2014,1,2,1413,1631,MQ,N813MQ,3388,LGA,CMH,0,46,23,28
2014,1,2,1410,1640,MQ,N539MQ,3404,LGA,RDU,0,125,45,0
2014,1,2,1556,1743,MQ,N843MQ,3416,LGA,RDU,0,1,2,65
2014,1,2,1746,2118,VX,N629VA,413,JFK,LAX,0,20,0,33
2014,1,2,1458,1744,WN,N720WN,332,EWR,DEN,0,28,16,135
2014,1,2,1638,1903,WN,N292WN,3778,EWR,DEN,0,21,0,27
2014,1,2,2146,309,WN,N438WN,421,EWR,MDW,0,340,243,16
2014,1,2,1420,1651,WN,N486WN,483,EWR,MDW,0,120,66,15
2014,1,2,1848,2150,WN,N7715E,3691,EWR,MSY,0,18,22,15
2014,1,2,1734,2118,WN,N752SW,2806,LGA,HOU,0,34,24,75
2014,1,2,1405,1632,WN,N206WN,172,LGA,MDW,0,60,57,80
2014,1,2,949,1217,MQ,N523MQ,3433,LGA,BNA,0,4,53,75
2014,1,2,1956,2215,MQ,N509MQ,3526,LGA,CMH,0,64,24,82
2014,1,2,1800,2027,MQ,N833MQ,3530,LGA,DTW,0,3,27,47
2014,1,2,1437,1647,MQ,N537MQ,3611,EWR,ORD,0,97,45,150
2014,1,2,1228,1437,MQ,N517MQ,3616,LGA,MSP,0,5,9,28
2014,1,2,1301,1533,MQ,N848MQ,3461,LGA,BNA,0,41,62,0
2014,1,2,1455,1643,MQ,N510MQ,3588,LGA,MSP,0,18,0,0
2014,1,2,1214,1457,MQ,N501MQ,3644,LGA,ATL,0,16,8,123
2014,1,2,1724,2029,MQ,N515MQ,3669,LGA,ATL,0,144,35,0
2014,1,2,1320,1633,MQ,N535MQ,3670,LGA,ATL,0,18,43,47
2014,1,2,1221,1430,MQ,N818MQ,3675,LGA,BNA,0,11,34,130
2014,1,2,1440,1710,MQ,N839MQ,3340,LGA,DTW,0,8,30,37
2014,1,2,2115,118,UA,N823UA,236,EWR,TPA,0,29,60,0
2014,1,2,2021,2348,UA,N453UA,246,LGA,IAH,0,71,15,130
2014,1,2,1528,1940,UA,N825UA,254,LGA,IAH,0,28,59,0
2014,1,2,2252,242,UA,N568UA,314,JFK,LAX,0,147,35,0
2014,1,2,748,1057,UA,N576UA,385,LGA,IAH,0,28,4,0
2014,1,2,834,1049,UA,N509UA,561,LGA,DEN,0,17,0,0
2014,1,2,2043,25,UA,N579UA,653,EWR,LAX,0,16,25,0
2014,1,2,1731,1902,UA,N843UA,689,LGA,ORD,0,19,0,0
2014,1,2,1958,2138,UA,N819UA,691,LGA,ORD,0,39,0,74
2014,1,2,1523,1751,UA,N516UA,745,LGA,DEN,0,22,0,0
2014,1,2,1236,1615,UA,N596UA,766,JFK,SFO,0,36,4,0
2014,1,2,2011,18,UA,N16701,1269,EWR,PBI,0,11,62,0
2014,1,2,2252,215,UA,N37253,1595,EWR,SFO,0,87,0,0
2014,1,2,2010,2339,UA,N15712,1623,EWR,MCO,0,10,35,0
2014,1,2,1147,1559,UA,N598UA,785,JFK,LAX,0,18,55,0
2014,1,2,1311,1619,UA,N77295,1030,LGA,IAH,0,41,0,0
2014,1,2,2108,307,UA,N26215,1071,EWR,BQN,0,18,68,0
2014,1,2,1507,1825,UA,N73291,1120,EWR,SFO,0,28,0,0
2014,1,2,1755,2004,US,N651AW,687,EWR,CLT,0,15,11,10
2014,1,2,617,846,US,N557UW,840,JFK,CLT,0,2,27,0
2014,1,2,1805,2041,US,N564UW,894,LGA,CLT,0,4,30,52
2014,1,2,1838,2106,US,N172US,1751,EWR,CLT,0,9,24,0
2014,1,2,1527,1705,US,N951UW,2152,LGA,BOS,0,26,27,1
2014,1,2,1703,1840,US,N959UW,2189,LGA,DCA,0,3,18,0
2014,1,3,1319,1622,AA,N336AA,3,JFK,LAX,0,6,0,66
2014,1,3,1902,2211,AA,N3HMAA,119,EWR,LAX,0,19,0,7
2014,1,3,1631,1956,AA,N323AA,133,JFK,LAX,0,36,0,0
2014,1,3,1754,2123,AA,N5DLAA,172,EWR,MIA,0,1,9,53
2014,1,3,1932,2314,AA,N319AA,177,JFK,SFO,0,37,2,70
2014,1,3,1631,1944,AA,N3HLAA,211,JFK,IAH,0,16,3,0
2014,1,3,1951,2306,AA,N3DNAA,291,JFK,AUS,0,121,0,30
2014,1,3,1745,1932,AA,N560AA,343,LGA,ORD,0,4,0,63
2014,1,3,1821,2005,AA,N541AA,345,LGA,ORD,0,37,0,3
2014,1,3,1854,2125,AA,N3DHAA,359,LGA,ORD,0,7,46,12
2014,1,3,2103,2235,AA,N4YAAA,371,LGA,ORD,0,15,0,15
2014,1,3,1956,56,AA,N633AA,1029,JFK,SJU,0,56,1,0
2014,1,3,1418,1725,AA,N3AJAA,1073,LGA,MIA,0,13,0,7
2014,1,3,2131,7,AA,N3AGAA,1193,LGA,DFW,0,36,0,71
2014,1,3,1446,1733,AA,N3KVAA,1151,LGA,DFW,0,29,0,9
2014,1,3,1637,1956,AA,N3ADAA,1410,LGA,MIA,0,22,0,19
2014,1,3,1945,2257,AA,N3CHAA,1611,LGA,MIA,0,70,0,12
2014,1,3,2054,2337,AA,N4YSAA,1691,EWR,DFW,0,23,0,39
2014,1,3,1539,1857,AA,N3LBAA,2297,LGA,MIA,0,37,0,0
2014,1,3,1856,2148,AA,N571AA,2488,EWR,DFW,0,13,0,65
2014,1,3,2019,2355,B6,N821JB,415,JFK,SFO,0,188,0,0
2014,1,3,2205,132,B6,N828JB,915,JFK,SFO,0,95,0,0
2014,1,3,2126,211,B6,N903JB,1103,JFK,SJU,0,12,0,24
2014,1,3,415,652,B6,N793JB,611,JFK,LAS,0,393,0,0
2014,1,3,132,305,B6,N193JB,702,JFK,BUF,0,76,10,160
2014,1,3,1331,1536,B6,N216JB,316,JFK,SYR,0,91,57,0
2014,1,3,1840,2236,B6,N216JB,1729,JFK,RSW,0,34,34,151
2014,1,3,1140,1407,B6,N228JB,885,JFK,RDU,0,243,43,0
2014,1,3,1451,1813,B6,N231JB,553,JFK,PBI,0,99,28,0
2014,1,3,2348,105,B6,N231JB,418,JFK,BOS,0,98,6,115
2014,1,3,1540,1704,B6,N247JB,308,JFK,PWM,0,53,13,78
2014,1,3,2329,137,B6,N258JB,105,JFK,ORD,0,60,23,90
2014,1,3,1328,1627,B6,N266JB,281,JFK,HOU,0,304,0,0
2014,1,3,1551,1715,B6,N296JB,2402,JFK,BUF,0,58,1,84
2014,1,3,2030,2146,B6,N296JB,1407,JFK,IAD,0,28,0,138
2014,1,3,125,310,B6,N296JB,985,JFK,RDU,0,22,6,188
2014,1,3,18,125,B6,N306JB,1816,JFK,SYR,0,88,1,0
2014,1,3,2331,157,B6,N317JB,1677,JFK,JAX,0,118,0,0
2014,1,3,1737,1857,B6,N318JB,118,JFK,BOS,0,218,11,0
2014,1,3,1312,1444,B6,N324JB,34,JFK,BTV,0,12,18,0
2014,1,3,1726,1841,B6,N324JB,918,JFK,BOS,0,18,3,16
2014,1,3,1523,1759,B6,N328JB,477,JFK,JAX,0,54,2,0
2014,1,3,2351,121,B6,N348JB,234,JFK,BTV,0,66,20,0
2014,1,3,1600,1810,B6,N355JB,1373,JFK,CHS,0,89,3,32
2014,1,3,1054,1339,B6,N358JB,675,JFK,MSY,0,249,23,0
2014,1,3,1927,2108,B6,N358JB,286,JFK,ROC,0,283,20,0
2014,1,3,112,238,B6,N358JB,2202,JFK,BUF,0,389,0,0
2014,1,3,1813,2106,B6,N368JB,1443,EWR,PBI,0,5,0,42
2014,1,3,253,412,B6,N374JB,2002,JFK,BUF,0,243,1,0
2014,1,3,1236,1550,B6,N510JB,1783,JFK,MCO,0,1,18,255
2014,1,3,1840,2138,B6,N516JB,89,JFK,SAN,0,106,0,0
2014,1,3,1928,2254,B6,N519JB,201,JFK,FLL,0,58,18,0
2014,1,3,1925,2229,B6,N521JB,183,JFK,MCO,0,55,10,0
2014,1,3,2114,202,B6,N531JB,803,JFK,SJU,0,94,0,0
2014,1,3,2213,125,B6,N547JB,523,JFK,LAX,0,86,0,0
2014,1,3,1912,2225,B6,N554JB,1013,JFK,LGB,0,56,0,0
2014,1,3,426,726,B6,N556JB,1901,JFK,FLL,0,395,0,0
2014,1,3,2259,350,B6,N562JB,1203,JFK,SJU,0,40,6,0
2014,1,3,1115,1448,B6,N569JB,15,JFK,SFO,0,140,0,0
2014,1,3,1813,2136,B6,N588JB,1801,JFK,FLL,0,137,5,0
2014,1,3,2323,238,B6,N592JB,329,JFK,RSW,0,157,3,0
2014,1,3,1057,1427,B6,N593JB,453,JFK,PBI,0,237,32,0
2014,1,3,43,412,B6,N608JB,1201,JFK,FLL,0,278,24,0
2014,1,3,238,715,B6,N624JB,1503,JFK,SJU,0,155,0,0
2014,1,3,2350,252,B6,N633JB,1183,JFK,MCO,0,91,16,20
2014,1,3,1403,1735,B6,N635JB,601,JFK,FLL,0,472,31,0
2014,1,3,1443,1801,B6,N636JB,301,JFK,FLL,0,14,10,0
2014,1,3,1644,2000,B6,N643JB,325,JFK,TPA,0,118,9,0
2014,1,3,102,403,B6,N643JB,2053,JFK,PBI,0,187,10,0
2014,1,3,1103,1528,B6,N645JB,525,JFK,TPA,0,268,91,0
2014,1,3,2103,7,B6,N648JB,225,JFK,TPA,0,31,0,52
2014,1,3,1250,1502,B6,N665JB,905,JFK,ORD,0,351,27,0
2014,1,3,2150,103,B6,N746JB,283,JFK,MCO,0,125,13,212
2014,1,3,1457,1800,B6,N768JB,383,JFK,MCO,0,27,11,104
2014,1,3,2353,249,B6,N768JB,883,JFK,MCO,0,228,5,0
2014,1,3,4,118,B6,N775JB,718,JFK,BOS,0,69,13,0
2014,1,3,1127,1358,B6,N779JB,2702,JFK,BUF,0,257,61,0
2014,1,3,1834,2133,B6,N779JB,323,JFK,LAX,0,105,0,291
2014,1,3,249,553,B6,N806JB,1205,JFK,PDX,0,358,0,0
2014,1,3,2217,119,AA,N3CYAA,45,JFK,LAS,0,71,7,246
2014,1,3,1112,1355,DL,N3754A,404,JFK,ATL,0,297,6,0
2014,1,3,2101,101,DL,N920DL,405,JFK,MCO,0,601,62,0
2014,1,3,312,522,DL,N389DA,406,JFK,ATL,0,495,0,0
2014,1,3,1746,2011,DL,N901DE,407,JFK,ATL,0,62,0,38
2014,1,3,2128,53,DL,N1501P,417,JFK,LAX,0,350,0,0
2014,1,3,54,354,DL,N703TW,419,JFK,SEA,0,556,0,0
2014,1,3,1511,1836,DL,N624AG,422,JFK,LAX,0,369,0,0
2014,1,3,1816,2223,DL,N717TW,432,JFK,SFO,0,316,31,0
2014,1,3,2026,2337,DL,N702TW,434,JFK,SFO,0,69,0,76
2014,1,3,1633,1854,DL,N379DA,436,JFK,LAS,0,58,0,0
2014,1,3,1350,1724,DL,N704X,440,JFK,SEA,0,370,17,0
2014,1,3,2235,327,DL,N3760C,448,JFK,SJU,0,189,0,0
2014,1,3,1656,2032,DL,N385DN,457,JFK,SLC,240,116,22,0
2014,1,3,1213,1538,DL,N3762Y,463,JFK,MCO,0,253,24,0
2014,1,3,1449,1840,DL,N710TW,469,JFK,SFO,0,289,16,0
2014,1,3,2049,2343,DL,N727TW,477,JFK,LAX,0,129,0,60
2014,1,3,1527,1835,DL,N982DL,781,LGA,ATL,78,69,29,0
2014,1,3,1258,1558,DL,N984DL,874,LGA,MIA,0,2,0,205
2014,1,3,1635,2148,DL,N389DA,2043,JFK,SJU,0,80,19,0
2014,1,3,1231,1557,DL,N309US,2098,LGA,MIA,0,76,9,0
2014,1,3,1322,1712,DL,N371DA,2165,JFK,PHX,0,322,7,0
2014,1,3,1520,1852,DL,N3744F,2190,JFK,MIA,0,440,23,0
2014,1,3,1148,1438,DL,N917DE,2219,LGA,MSP,0,18,38,0
2014,1,3,1736,1934,DL,N301NB,2231,LGA,DTW,8,16,0,28
2014,1,3,146,445,DL,N322US,2242,JFK,SAT,0,257,0,0
2014,1,3,1550,1824,DL,N911DL,2247,LGA,ATL,8,101,0,0
2014,1,3,1323,1524,DL,N357NW,2319,LGA,MSP,0,15,0,160
2014,1,3,141,345,DL,N914DE,2331,JFK,DTW,0,411,0,0
2014,1,3,1946,2251,DL,N372DA,2357,JFK,SAN,0,54,0,0
2014,1,3,1639,2013,DL,N320US,2361,JFK,MIA,0,201,23,0
2014,1,3,1258,1640,DL,N955DL,2442,JFK,FLL,0,298,25,0
2014,1,3,1311,1634,DL,N952DL,2446,LGA,FLL,0,251,4,0
2014,1,3,1427,1730,DL,N915DL,2448,LGA,PBI,0,46,0,0
2014,1,3,2104,16,DL,N366NB,2449,LGA,FLL,12,126,0,54
2014,1,3,1405,1718,DL,N915DE,2450,LGA,FLL,11,64,0,0
2014,1,3,1422,1813,DL,N338NW,2455,LGA,MCO,0,32,56,21
2014,1,3,1437,1738,DL,N341NB,2461,LGA,PBI,0,48,0,67
2014,1,3,1638,1858,DL,N918DE,2462,LGA,ATL,7,68,0,0
2014,1,3,1419,1833,DL,N308DE,2506,JFK,SAN,0,369,71,0
2014,1,3,5,347,DL,N686DA,2537,JFK,SLC,0,275,11,0
2014,1,3,2138,34,DL,N399DA,2546,JFK,LAS,0,234,0,0
2014,1,3,1612,2118,DL,N3759,2591,JFK,SJU,0,103,17,329
2014,1,3,1901,2216,DL,N3772H,2595,JFK,PDX,0,74,0,75
2014,1,3,44,333,DL,N940DL,1485,LGA,MCO,13,284,0,0
2014,1,3,2239,50,DL,N341NB,1715,LGA,MSY,0,189,0,0
2014,1,3,1044,1348,DL,N963DL,1747,LGA,ATL,0,104,17,0
2014,1,3,1718,2158,DL,N918DL,1779,LGA,FLL,13,200,89,0
2014,1,3,1300,1540,DL,N334NW,1875,LGA,TPA,0,15,0,37
2014,1,3,2211,25,DL,N309US,1896,LGA,DEN,0,15,0,137
2014,1,3,1557,1904,DL,N938DL,1902,LGA,PBI,7,61,0,0
2014,1,3,948,1241,DL,N973DL,1919,LGA,MSP,0,223,44,0
2014,1,3,1403,1540,EV,N34111,3813,EWR,MHT,0,37,33,0
2014,1,3,1538,1812,EV,N11194,3844,EWR,SDF,0,26,12,0
2014,1,3,2332,134,EV,N19966,3848,EWR,IND,0,66,0,108
2014,1,3,1747,1955,EV,N13956,4091,EWR,IND,0,17,0,27
2014,1,3,2015,2312,EV,N12921,4152,EWR,ATL,12,42,17,0
2014,1,3,2135,2306,EV,N13970,4191,EWR,BNA,0,67,0,72
2014,1,3,2113,2257,EV,N16559,4195,EWR,PWM,20,3,20,200
2014,1,3,2244,108,EV,N11184,4204,EWR,OKC,0,108,0,0
2014,1,3,2030,2227,EV,N13997,4224,EWR,MKE,9,16,37,0
2014,1,3,1612,1746,EV,N26545,4580,EWR,MKE,0,47,6,0
2014,1,3,1754,1919,EV,N12540,4552,EWR,GSO,0,17,0,132
2014,1,3,2155,2336,EV,N13992,4700,EWR,CLT,0,4,0,21
2014,1,3,2050,2225,EV,N751EV,5038,LGA,BHM,0,62,0,0
2014,1,3,2035,2229,EV,N600QX,5274,LGA,BNA,0,126,5,0
2014,1,3,2104,2334,EV,N979EV,5567,LGA,CAE,5,1,14,109
